Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,
55314-145489,PG,Killian,Killian Hayes,Hayes,9.728571210588727,7,3700,DET@NY,DET,NY,O,Hip,,,
55314-145541,PG,R.J.,R.J. Hampton,Hampton,6.016666412353516,24,3700,DEN@IND,DEN,IND,O,Covid-19,,,
55314-9873,C,Robin,Robin Lopez,Lopez,16.178788618607953,33,3700,LAC@WAS,WAS,LAC,,,,,
55314-84713,SG,Svi,Svi Mykhailiuk,Mykhailiuk,12.511764526367188,34,3700,DET@NY,DET,NY,,,,,
55314-110315,SG,Terance,Terance Mann,Mann,11.258823170381433,34,3700,LAC@WAS,LAC,WAS,,,,,
55314-110322,PG,Jordan,Jordan Poole,Poole,8.740000406901041,15,3700,GS@PHO,GS,PHO,,,,,
55314-111492,PF,Amir,Amir Coffey,Coffey,4.5,20,3700,LAC@WAS,LAC,WAS,,,,,
55314-18376,SG,Damion,Damion Lee,Lee,14.455556233723959,36,3700,GS@PHO,GS,PHO,,,,,
55314-48598,SF,Semi,Semi Ojeleye,Ojeleye,11.063636548591383,33,3700,TOR@BOS,BOS,TOR,,,,,
55314-9703,PG,George,George Hill,Hill,21.021427699497767,14,3700,OKC@SA,OKC,SA,O,Thumb,,,
55314-66046,SG,Luke,Luke Kennard,Kennard,13.490909460819129,33,3700,LAC@WAS,LAC,WAS,,,,,
55314-42550,PF,Jabari,Jabari Parker,Parker,8.350000381469727,2,3600,SAC@POR,SAC,POR,GTD,Covid-19,,,
55314-84677,PG,Jerome,Jerome Robinson,Robinson,11.353846623347355,13,3600,LAC@WAS,WAS,LAC,,,,,
55314-14554,SF,E'Twaun,E'Twaun Moore,Moore,10.790476481119791,21,3600,GS@PHO,PHO,GS,,,,,
55314-110340,C,Jaxson,Jaxson Hayes,Hayes,10.695833841959635,24,3600,MIA@NO,NO,MIA,,,,,
55314-80815,PF,Zach,Zach Collins,Collins,18.16363664106889,11,3600,SAC@POR,POR,SAC,O,Ankle,,,
55314-9655,SF,JJ,JJ Redick,Redick,12.916128835370463,31,3600,MIA@NO,NO,MIA,,,,,
55314-96775,PF,Norvel,Norvel Pelle,Pelle,6.525000095367432,4,3500,SAC@POR,SAC,POR,,,,,
55314-101387,PG,Gabe,Gabe Vincent,Vincent,9.875999755859375,25,3500,MIA@NO,MIA,NO,,,,,
55314-85521,SG,Theo,Theo Pinson,Pinson,0.4272727099331943,11,3500,DET@NY,NY,DET,,,,,
55314-101393,SG,Paul,Paul Watson,Watson,3.3066665649414064,15,3500,TOR@BOS,TOR,BOS,,,,,
55314-117273,SF,Mychal,Mychal Mulder,Mulder,7.127272634795218,33,3500,GS@PHO,GS,PHO,,,,,
55314-117274,PF,Chris,Chris Silva,Silva,9.09999974568685,6,3500,MIA@NO,MIA,NO,,,,,
55314-15904,SG,Rodney,Rodney Hood,Hood,9.88275883115571,29,3500,SAC@POR,POR,SAC,,,,,
55314-117285,SF,Vlatko,Vlatko Cancar,Cancar,4.068421213250411,19,3500,DEN@IND,DEN,IND,,,,,
55314-117286,C,Moses,Moses Brown,Brown,8.214285714285714,7,3500,OKC@SA,OKC,SA,,,,,
55314-12334,SG,Avery,Avery Bradley,Bradley,14.260000610351563,10,3500,MIA@NO,MIA,NO,GTD,Calf,,,
55314-110638,SG,Deividas,Deividas Sirvydis,Sirvydis,0.7400000095367432,5,3500,DET@NY,DET,NY,,,,,
55314-110640,PF,Luka,Luka Samanic,Samanic,7.587500095367432,8,3500,OKC@SA,SA,OKC,,,,,
55314-12340,PF,Patrick,Patrick Patterson,Patterson,8.15,10,3500,LAC@WAS,LAC,WAS,O,Personal,,,
55314-117812,SF,Donta,Donta Hall,Hall,12.51111094156901,9,3500,TOR@BOS,TOR,BOS,,,,,
55314-117307,SF,DaQuan,DaQuan Jeffries,Jeffries,10.10909063165838,11,3500,SAC@POR,SAC,POR,,,,,
55314-117819,PG,Jared,Jared Harper,Harper,0,2,3500,DET@NY,NY,DET,,,,,
55314-117821,PG,Keljin,Keljin Blevins,Blevins,1.711111068725586,9,3500,SAC@POR,POR,SAC,,,,,
55314-112709,SG,Javonte,Javonte Green,Green,10.363636363636363,22,3500,TOR@BOS,BOS,TOR,,,,,
55314-112708,SF,Max,Max Strus,Strus,9.473684210526315,19,3500,MIA@NO,MIA,NO,,,,,
55314-112710,C,Tacko,Tacko Fall,Fall,9.587499618530273,8,3500,TOR@BOS,BOS,TOR,,,,,
55314-23120,SF,T.J.,T.J. Warren,Warren,22.075000762939453,4,3500,DEN@IND,IND,DEN,O,Foot,,,
55314-110697,PF,Nicolo,Nicolo Melli,Melli,6.574999809265137,16,3500,MIA@NO,NO,MIA,,,,,
55314-41077,SG,Sindarius,Sindarius Thornwell,Thornwell,2.872727307406339,11,3500,MIA@NO,NO,MIA,,,,,
55314-145532,SG,Jay,Jay Scrubb,Scrubb,,,3500,LAC@WAS,LAC,WAS,O,Foot,,,
55314-145538,PF,Aleksej,Aleksej Pokusevski,Pokusevski,12.852941176470589,17,3500,OKC@SA,OKC,SA,,,,,
55314-145539,SF,Deni,Deni Avdija,Avdija,15.175862279431573,29,3500,LAC@WAS,WAS,LAC,,,,,
55314-145548,PF,Anthony,Anthony Gill,Gill,4.233333269755046,12,3500,LAC@WAS,WAS,LAC,,,,,
55314-14509,SG,Klay,Klay Thompson,Thompson,,,3500,GS@PHO,GS,PHO,O,Achilles,,,
55314-84668,SF,Troy,Troy Brown,Brown,8.864705702837776,17,3500,LAC@WAS,WAS,LAC,,,,,
55314-14529,PG,Cory,Cory Joseph,Joseph,14.071428571428571,35,3500,SAC@POR,SAC,POR,,,,,
55314-84674,SF,Kevin,Kevin Knox,Knox,9.357692425067608,26,3500,DET@NY,NY,DET,,,,,
55314-84683,PF,Jaren,Jaren Jackson,Jackson,29.97931118669181,58,3500,MIL@MEM,MEM,MIL,O,Knee,,,
55314-84688,SF,Keita,Keita Bates-Diop,Bates-Diop,5.775000254313151,12,3500,OKC@SA,SA,OKC,,,,,
55314-145623,PF,Mamadi,Mamadi Diakite,Diakite,,,3500,MIL@MEM,MIL,MEM,,,,,
55314-84696,SG,Jevon,Jevon Carter,Carter,7.782142639160156,28,3500,GS@PHO,PHO,GS,,,,,
55314-145624,SG,Ty-Shon,Ty-Shon Alexander,Alexander,0.9000000158945719,3,3500,GS@PHO,PHO,GS,,,,,
