"Position","Name","Salary","GameInfo","AvgPointsPerGame","Team","Opponent","Projection","Projection_dfn","Actual_fpts"
"PF/C","Marreese Speights",3200,"LAC@ORL 12/13/2017 07:00PM ET",12.713,"ORL","LAC",9.92,12.4,5.5
"PF/C","Jarell Martin",3200,"MEM@WAS 12/13/2017 07:00PM ET",11.05,"MEM","WAS",2.74,0,3.25
"SG","Jodie Meeks",3200,"MEM@WAS 12/13/2017 07:00PM ET",10.606,"WAS","MEM",10.53,9.7,17.75
"PF/C","Deyonta Davis",3200,"MEM@WAS 12/13/2017 07:00PM ET",10.679,"MEM","WAS",0,11.5,4
"C","Ian Mahinmi",3200,"MEM@WAS 12/13/2017 07:00PM ET",10.798,"WAS","MEM",0,0,0
"SG/SF","Dwayne Bacon",3200,"CHA@HOU 12/13/2017 09:30PM ET",9.93,"CHA","HOU",3.14,0,0
"PG/SG","Matthew Dellavedova",3200,"MIL@NO 12/13/2017 08:00PM ET",12.962,"MIL","NO",0,0,0
"SF/PF","Mirza Teletovic",3200,"MIL@NO 12/13/2017 08:00PM ET",13.175,"MIL","NO",0,0,0
"PG/SG","Ian Clark",3200,"MIL@NO 12/13/2017 08:00PM ET",9.354,"NO","MIL",3.55,0,0
"PG","Antonio Blakeney",3100,"UTA@CHI 12/13/2017 08:00PM ET",10.682,"CHI","UTA",0,0,0
"PG/SG","Raymond Felton",3100,"OKC@IND 12/13/2017 07:00PM ET",13.529,"OKC","IND",14.82,13.3,18.75
"SG","Sindarius Thornwell",3100,"LAC@ORL 12/13/2017 07:00PM ET",8.54,"LAC","ORL",8.38,9.2,6
"PF/C","Tarik Black",3100,"CHA@HOU 12/13/2017 09:30PM ET",8.569,"HOU","CHA",0,0,0
"PG","Bobby Brown",3100,"CHA@HOU 12/13/2017 09:30PM ET",4.391,"HOU","CHA",0,0,0
"SG/SF","Tony Allen",3100,"MIL@NO 12/13/2017 08:00PM ET",8.898,"NO","MIL",0,0,0
"SG/SF","Torrey Craig",3000,"DEN@BOS 12/13/2017 07:30PM ET",1.25,"DEN","BOS",0,0,0
"SF/PF","Richard Jefferson",3000,"DEN@BOS 12/13/2017 07:30PM ET",3.219,"DEN","BOS",0,0,0
"PF","Tyler Lydon",3000,"DEN@BOS 12/13/2017 07:30PM ET",0,"DEN","BOS",0,0,0
"PF","Darrell Arthur",3000,"DEN@BOS 12/13/2017 07:30PM ET",2.75,"DEN","BOS",3.47,0,0
"PG","Monte Morris",3000,"DEN@BOS 12/13/2017 07:30PM ET",0,"DEN","BOS",0,0,0
"PF","Abdel Nader",3000,"DEN@BOS 12/13/2017 07:30PM ET",4.212,"BOS","DEN",5.58,6.7,0
"SG","Kadeem Allen",3000,"DEN@BOS 12/13/2017 07:30PM ET",3,"BOS","DEN",0,0,0
"PF/C","Guerschon Yabusele",3000,"DEN@BOS 12/13/2017 07:30PM ET",4.861,"BOS","DEN",8.51,0,0
"SG/SF","Gordon Hayward",3000,"DEN@BOS 12/13/2017 07:30PM ET",3.25,"BOS","DEN",0,0,0
"SG","Jabari Bird",3000,"DEN@BOS 12/13/2017 07:30PM ET",3.667,"BOS","DEN",0,0,0
"PG","Nate Wolters",3000,"UTA@CHI 12/13/2017 08:00PM ET",1,"UTA","CHI",0,0,0
"PF/C","Ekpe Udoh",3000,"UTA@CHI 12/13/2017 08:00PM ET",10.82,"UTA","CHI",0,0,0
"C","Tony Bradley",3000,"UTA@CHI 12/13/2017 08:00PM ET",1.938,"UTA","CHI",0,0,0
"PG/SG","Dante Exum",3000,"UTA@CHI 12/13/2017 08:00PM ET",0,"UTA","CHI",0,0,0
"SF","Royce O'Neale",3000,"UTA@CHI 12/13/2017 08:00PM ET",7.05,"UTA","CHI",2.89,0,0
