,name,team,date,location,opponent,minutes,made_two_point_field_goals,made_three_point_field_goals,made_free_throws,rebounds,assists,blocks,steals,turnovers,recent_average,fantasy_points,fantasy_points_8_9,predicted_points,actual_points
32,Josh Richardson,PHILADELPHIA 76ERS,2020-02-27,HOME,NEW YORK KNICKS,25.74350890236605,3.109029203524104,1.2970371531900782,1.320208328254943,4.344321914945361,2.3530658009008336,0.7713855786736077,0.8911590811577528,1.274018198402874,22.57175,0,23.19743547729776,23.885778975250275,32.9
33,RJ Barrett,NEW YORK KNICKS,2020-02-27,AWAY,PHILADELPHIA 76ERS,25.456281658302366,3.978909946538698,1.266267173886743,2.529540622004438,3.72573010200027,2.4030303377985405,0.09079132672973866,0.5383877110008273,1.7786784959320787,18.164250000000003,0,21.741085634420497,22.470442283099814,26.7
34,Justin Holiday,INDIANA PACERS,2020-02-27,HOME,PORTLAND TRAIL BLAZERS,25.487590311735417,1.4809423751695343,2.0131641725419467,0.9378250490694935,3.3373037594655894,1.6507144764151176,0.7725646373631672,1.0456456608117008,0.7325638754906136,21.331,0,21.097867473699704,21.142105562049778,16.9
35,Dennis Schröder,OKLAHOMA CITY THUNDER,2020-02-27,HOME,SACRAMENTO KINGS,28.577041107766473,4.741327500585909,1.4824247608838255,3.1956212737459655,3.7872023012376754,3.926846897177653,0.21482205338865157,0.8360604143861485,1.9669223036368928,27.673750000000002,0,29.599331064905716,28.74618876450846,26.5
36,JaVale McGee,LOS ANGELES LAKERS,2020-02-27,AWAY,GOLDEN STATE WARRIORS,19.564047949474784,1.6910608341290425,0.16655764607993495,0.04135961266545457,5.545119779803892,0.29551814352048567,0.5611992767237224,0.48719864344397146,0.4449947694212848,13.241249999999999,0,14.291287210500148,13.720774161290539,20.7
37,Buddy Hield,SACRAMENTO KINGS,2020-02-27,AWAY,OKLAHOMA CITY THUNDER,32.50890515329566,2.4332286505392147,2.926243474649807,2.1547747278526534,3.6898131543229162,3.5425822854024758,0.11711218952762348,1.0821164488080293,1.5347480153732351,31.13075,0,27.93947850812083,27.60454956580544,24.2
38,Kentavious Caldwell-Pope,LOS ANGELES LAKERS,2020-02-27,AWAY,GOLDEN STATE WARRIORS,23.979058163696003,1.9310517482916856,1.7965913833146774,1.0772139037744177,2.35493533032653,1.5476688206496911,0.19075366332639732,1.0851958704026077,1.173472522925231,17.0715,0,17.87466201355418,18.130893255929976,20.1
39,T.J. McConnell,INDIANA PACERS,2020-02-27,HOME,PORTLAND TRAIL BLAZERS,20.362807378822655,1.9942145343748674,0.14853998275135316,0.42571445610083597,2.84585564828936,3.329607101553383,0.28312884404720284,0.8502491035852171,0.9333293038207118,13.020500000000002,0,16.406382292722665,15.736005442458483,13.2
40,Furkan Korkmaz,PHILADELPHIA 76ERS,2020-02-27,HOME,NEW YORK KNICKS,27.3883038008912,1.9313939988437347,2.5870150662071962,1.5529791106031048,3.6211782104162777,1.8388379042769996,0.2803831237246013,0.7358200926001682,0.9936864756084716,23.3315,0,22.916824701525098,22.33540618919303,14.2
41,Kyle Kuzma,LOS ANGELES LAKERS,2020-02-27,AWAY,GOLDEN STATE WARRIORS,24.889306106886874,3.114752510328314,1.2501663583977007,1.484234813502707,4.310633787988093,2.4089352388968166,0.40773965133605694,0.8126725103482761,1.5090614672958922,19.4095,0,22.379958557527488,22.40257733104048,25.1
42,Markieff Morris,LOS ANGELES LAKERS,2020-02-27,AWAY,GOLDEN STATE WARRIORS,23.712951231063677,1.7708271244323726,1.4902644130945248,1.4735973635425137,3.8971165677100474,1.5725670383136985,0.5085227052972927,0.5207100871061869,1.136002571817563,17.3575,0,18.73813571211913,18.473131095806313,13.3
43,Damion Lee,GOLDEN STATE WARRIORS,2020-02-27,HOME,LOS ANGELES LAKERS,29.901677201187326,2.2201156384708844,2.6614195427923324,2.0658976834060825,3.756641654416115,3.0414134953328205,0.37601872571207284,1.0572517660533967,1.537088242072528,28.3435,0,26.130916134182804,26.323201050247295,25.2
44,Aaron Holiday,INDIANA PACERS,2020-02-27,HOME,PORTLAND TRAIL BLAZERS,23.610380128094928,2.211468076009563,1.2832551114416864,1.130062047498392,2.292991884736127,3.355672401743776,0.19732885678118128,0.7467005441561767,1.0915151333038184,16.649250000000002,0,18.651537110316074,18.928435467649848,12.6
