Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SF,Theo Pinson (16747942),Theo Pinson,16747942,SF/F/UTIL,3000,PHI@NY 03/21/2021 08:00PM ET,NY,0.42
SF,Terrance Ferguson (16747951),Terrance Ferguson,16747951,SF/F/UTIL,3000,PHI@NY 03/21/2021 08:00PM ET,PHI,0.48
SF/PF,Kevin Knox II (16747961),Kevin Knox II,16747961,SF/PF/F/UTIL,3000,PHI@NY 03/21/2021 08:00PM ET,NY,9.08
SG,Isaiah Joe (16747998),Isaiah Joe,16747998,SG/G/UTIL,3000,PHI@NY 03/21/2021 08:00PM ET,PHI,8.07
C,Harry Giles III (16747803),Harry Giles III,16747803,C/UTIL,3000,DAL@POR 03/21/2021 10:00PM ET,POR,11.57
C,Willie Cauley-Stein (16747815),Willie Cauley-Stein,16747815,C/UTIL,3000,DAL@POR 03/21/2021 10:00PM ET,DAL,14.01
C,Boban Marjanovic (16747817),Boban Marjanovic,16747817,C/UTIL,3000,DAL@POR 03/21/2021 10:00PM ET,DAL,9.95
PF,James Johnson (16747834),James Johnson,16747834,PF/F/UTIL,3000,DAL@POR 03/21/2021 10:00PM ET,DAL,15.05
PF,Tyler Bey (16747840),Tyler Bey,16747840,PF/F/UTIL,3000,DAL@POR 03/21/2021 10:00PM ET,DAL,2.6
PF/C,Zach Collins (16747852),Zach Collins,16747852,PF/C/F/UTIL,3000,DAL@POR 03/21/2021 10:00PM ET,POR,0
PG,Tyrell Terry (16747897),Tyrell Terry,16747897,PG/G/UTIL,3000,DAL@POR 03/21/2021 10:00PM ET,DAL,3.32
PG/SG,Anfernee Simons (16747919),Anfernee Simons,16747919,PG/SG/G/UTIL,3000,DAL@POR 03/21/2021 10:00PM ET,POR,14.55
PG/SG,Trey Burke (16747935),Trey Burke,16747935,PG/SG/G/UTIL,3000,DAL@POR 03/21/2021 10:00PM ET,DAL,12.01
SF,Wes Iwundu (16747958),Wes Iwundu,16747958,SF/F/UTIL,3000,DAL@POR 03/21/2021 10:00PM ET,DAL,5.92
SF/PF,Josh Green (16747969),Josh Green,16747969,SF/PF/F/UTIL,3000,DAL@POR 03/21/2021 10:00PM ET,DAL,5.92
SG,Keljin Blevins (16747983),Keljin Blevins,16747983,SG/G/UTIL,3000,DAL@POR 03/21/2021 10:00PM ET,POR,1.67
SG,Nate Hinton (16748001),Nate Hinton,16748001,SG/G/UTIL,3000,DAL@POR 03/21/2021 10:00PM ET,DAL,1.92
SG/SF,CJ Elleby (16748014),CJ Elleby,16748014,SG/SF/F/G/UTIL,3000,DAL@POR 03/21/2021 10:00PM ET,POR,5.85
C,Jalen Smith (16747805),Jalen Smith,16747805,C/UTIL,3000,LAL@PHO 03/21/2021 10:00PM ET,PHO,3.31
PF,Alfonzo McKinnie (16747843),Alfonzo McKinnie,16747843,PF/F/UTIL,3000,LAL@PHO 03/21/2021 10:00PM ET,LAL,4.25
PF,Kostas Antetokounmpo (16747846),Kostas Antetokounmpo,16747846,PF/F/UTIL,3000,LAL@PHO 03/21/2021 10:00PM ET,LAL,5.5
PF,Devontae Cacok (16747849),Devontae Cacok,16747849,PF/F/UTIL,3000,LAL@PHO 03/21/2021 10:00PM ET,LAL,4.42
PF/C,Frank Kaminsky (16747860),Frank Kaminsky,16747860,PF/C/F/UTIL,3000,LAL@PHO 03/21/2021 10:00PM ET,PHO,15.27
PG/SG,Jevon Carter (16747923),Jevon Carter,16747923,PG/SG/G/UTIL,3000,LAL@PHO 03/21/2021 10:00PM ET,PHO,7.70
PG/SG,Ty-Shon Alexander (16747927),Ty-Shon Alexander,16747927,PG/SG/G/UTIL,3000,LAL@PHO 03/21/2021 10:00PM ET,PHO,0.92
SF,Torrey Craig (16747939),Torrey Craig,16747939,SF/F/UTIL,3000,LAL@PHO 03/21/2021 10:00PM ET,PHO,8.68
SG/SF,E'Twaun Moore (16748009),E'Twaun Moore,16748009,SG/SF/F/G/UTIL,3000,LAL@PHO 03/21/2021 10:00PM ET,PHO,9.92
