,Name,Position,Game,Team,Projected Fanduel Points,Projected Fanduel Value,Fanduel Salary,Value above Fanduel Value,Projected Draftkings Points,Projected Draftkings Value,FPPG (Fanduel),10 Game Average (Fanduel),3 Game Average (Fanduel),Opponent Defensive Rank vs Position,Injury Indicator,Injury Details,Hot,Cold
113,Caleb Swanigan,PF,MEM@POR,POR,16.53,3307,3500,-193,16.99,2831,8.31,12.23,11.53,22.0,O,Personal,0.0,0.0
114,Marko Guduric,SG,MEM@POR,MEM,12.9,2580,3500,-920,12.72,2119,8.25,6.68,8.0,16.0,,,0.0,0.0
115,Anthony Tolliver,PF,MEM@POR,MEM,3.86,773,3500,-2727,3.79,632,8.98,4.46,2.2,24.0,,,0.0,0.0
116,Jerome Robinson,PG,PHO@WAS,WAS,18.3,3660,3500,160,18.07,3012,9.09,11.55,16.73,27.0,,,0.0,0.0
117,Khem Birch,PF,ORL@BKN,ORL,13.75,2750,3500,-750,13.29,2215,12.74,11.61,7.6,26.0,,,0.0,0.0
118,Patty Mills,PG,SAC@SA,SA,18.41,3683,3500,183,19.97,3328,18.17,16.08,16.47,24.0,,,0.0,0.0
119,Jalen Brunson,PG,HOU@DAL,DAL,17.9,3581,3500,81,18.81,3135,16.15,19.03,7.57,4.0,O,Shoulder,0.0,3.6836150731195225
120,Jevon Carter,PG,PHO@WAS,PHO,7.18,1437,3500,-2063,6.38,1064,11.36,12.27,14.27,30.0,,,0.0,0.0
121,Yogi Ferrell,PG,SAC@SA,SAC,4.14,827,3500,-2673,4.11,686,8.18,5.16,5.27,16.0,,,0.0,0.0
122,Chimezie Metu,C,SAC@SA,SA,7.95,1589,3500,-1911,7.89,1316,6.01,5.57,5.43,10.0,,,0.0,0.0
123,Marvin Williams,PF,BOS@MIL,MIL,15.75,3150,3500,-350,14.35,2392,14.15,13.54,16.83,1.0,,,0.0,0.0
124,Bryn Forbes,SG,SAC@SA,SA,16.83,3367,3500,-133,17.38,2897,16.86,17.62,16.3,23.0,,,0.0,0.0
125,Tremont Waters,PG,BOS@MIL,BOS,8.19,1639,3500,-1861,7.85,1309,7.28,6.42,2.07,18.0,,,0.0,0.0
126,Grant Williams,PF,BOS@MIL,BOS,7.96,1591,3500,-1909,7.53,1254,10.42,13.15,7.2,12.0,,,0.0,0.0
127,Romeo Langford,SG,BOS@MIL,BOS,8.21,1643,3500,-1857,7.61,1269,5.53,6.58,3.97,13.0,,,0.0,0.0
128,Melvin Frazier,SF,ORL@BKN,ORL,1.69,337,3500,-3163,1.48,247,2.62,3.64,1.0,10.0,,,0.0,0.0
129,Yuta Watanabe,SG,MEM@POR,MEM,9.94,1987,3500,-1513,9.44,1574,4.53,3.67,3.27,16.0,,,0.0,0.0
130,Admiral Schofield,SF,PHO@WAS,WAS,13.55,2710,3500,-790,13.35,2225,6.33,6.47,2.4,15.0,,,0.0,0.0
131,Ty Jerome,SG,PHO@WAS,PHO,10.56,2111,3500,-1389,10.47,1744,8.74,9.01,2.87,30.0,,,0.0,0.0
132,Carsen Edwards,PG,BOS@MIL,BOS,5.57,1113,3500,-2387,5.38,897,6.13,3.53,1.07,13.0,,,0.0,0.0
133,Justin James,SG,SAC@SA,SAC,3.63,727,3500,-2773,3.62,603,5.35,2.64,2.83,25.0,,,0.0,0.0
134,Tyson Chandler,C,HOU@DAL,HOU,5.62,1123,3500,-2377,5.22,870,6.01,1.25,0.87,22.0,,,0.0,0.0
135,Nassir Little,SF,MEM@POR,POR,11.46,2293,3500,-1207,11.12,1853,8.35,8.99,2.6,22.0,,,0.0,0.0
136,Keldon Johnson,SF,SAC@SA,SA,8.8,1760,3500,-1740,8.61,1435,9.49,5.92,6.43,17.0,,,0.0,0.0
137,Quinndary Weatherspoon,SG,SAC@SA,SA,7.47,1495,3500,-2005,6.87,1145,0.9,0.0,0.0,23.0,,,0.0,0.0
138,Thanasis Antetokounmpo,SF,BOS@MIL,MIL,13.4,2680,3500,-820,11.64,1940,5.24,3.89,8.0,5.0,,,0.0,0.0
139,Bruno Caboclo,SF,HOU@DAL,HOU,13.9,2781,3500,-719,12.92,2153,8.47,4.7,6.27,16.0,GTD,Not injury related,0.0,0.0
140,J.J. Barea,PG,HOU@DAL,DAL,19.44,3888,3500,388,22.61,3768,14.73,16.53,13.77,4.0,,,0.0,0.0
141,Vincent Poirier,C,BOS@MIL,BOS,7.11,1423,3500,-2077,6.96,1160,5.16,5.96,1.73,8.0,,,0.0,0.0
142,Kelly Oubre,SF,PHO@WAS,PHO,26.24,5248,3500,1748,26.46,4409,33.16,31.02,28.47,27.0,GTD,Knee,0.0,0.0
143,Chris Clemons,PG,HOU@DAL,HOU,13.07,2615,3500,-885,12.51,2086,7.5,6.32,3.87,6.0,,,0.0,0.0
144,Michael Kidd-Gilchrist,SF,HOU@DAL,DAL,9.67,1934,3500,-1566,9.69,1615,6.93,5.58,9.53,13.0,GTD,Undisclosed,0.0,0.0
145,Brad Wanamaker,PG,BOS@MIL,BOS,12.57,2514,3500,-986,12.77,2128,14.62,19.23,17.93,18.0,,,0.0,0.0
146,D.J. Wilson,PF,BOS@MIL,MIL,16.17,3233,3500,-267,14.61,2436,7.12,5.34,8.47,1.0,,,0.0,0.0
147,Antonius Cleveland,SG,HOU@DAL,DAL,7.17,1433,3500,-2067,6.74,1123,2.27,2.27,2.33,20.0,,,0.0,0.0
148,Gary Clark,PF,ORL@BKN,ORL,8.79,1759,3500,-1741,8.35,1392,8.24,7.11,3.6,5.0,,,0.0,0.0
149,Frank Mason,PG,BOS@MIL,MIL,14.84,2968,3500,-532,14.55,2425,6.68,0.0,0.0,8.0,,,0.0,0.0
150,Wenyen Gabriel,PF,MEM@POR,POR,10.55,2110,3500,-1390,10.83,1804,5.69,5.28,5.53,22.0,,,0.0,0.0
151,Jalen Lecque,PG,PHO@WAS,PHO,3.95,791,3500,-2709,3.79,632,3.0,3.0,4.0,30.0,,,0.0,0.0
152,Drew Eubanks,C,SAC@SA,SA,7.4,1480,3500,-2020,7.26,1210,8.18,2.07,2.07,10.0,,,0.0,0.0
153,Marco Belinelli,SG,SAC@SA,SA,16.23,3246,3500,-254,16.75,2792,10.04,11.06,16.07,23.0,,,0.0,0.0
