"Position","Name","Salary","GameInfo","AvgPointsPerGame","Team","Opponent","Projection","Projection_dfn","Actual_fpts"
"PG","Michael Carter-Williams",3300,"MIL@CHA 12/23/2017 07:00PM ET",13.425,"CHA","MIL",0,10.8,10.25
"SG/SF","DeAndre Liggins",3300,"MIL@CHA 12/23/2017 07:00PM ET",7.442,"MIL","CHA",0,8.9,8
"SF/PF","Dante Cunningham",3300,"NO@MIA 12/23/2017 08:00PM ET",13.433,"NO","MIA",0,12.2,18.25
"SF","Darius Miller",3300,"NO@MIA 12/23/2017 08:00PM ET",12.96,"NO","MIA",0,14.6,21
"C","Zaza Pachulia",3300,"DEN@GS 12/23/2017 08:30PM ET",14.6,"GS","DEN",0,0,0
"SG","Nick Young",3300,"DEN@GS 12/23/2017 08:30PM ET",11.086,"GS","DEN",0,11.6,8.25
"SF/PF","Juancho Hernangomez",3300,"DEN@GS 12/23/2017 08:30PM ET",8.833,"DEN","GS",0,0,0
"SG/SF","Semi Ojeleye",3200,"CHI@BOS 12/23/2017 07:30PM ET",6.221,"BOS","CHI",0,6.9,8.25
"PF/C","Patrick Patterson",3200,"OKC@UTA 12/23/2017 08:00PM ET",8.081,"OKC","UTA",0,7.9,13.5
"PF/C","Al Jefferson",3200,"BKN@IND 12/23/2017 07:00PM ET",15.5,"IND","BKN",0,0,0
"PG/SG","Isaiah Whitehead",3200,"BKN@IND 12/23/2017 07:00PM ET",13.75,"BKN","IND",0,0,0
"PF/C","Meyers Leonard",3200,"POR@LAL 12/23/2017 09:30PM ET",10.563,"POR","LAL",0,0,0
"PF","Caleb Swanigan",3200,"POR@LAL 12/23/2017 09:30PM ET",7.607,"POR","LAL",0,0,0
"C","Ivica Zubac",3200,"POR@LAL 12/23/2017 09:30PM ET",1.333,"LAL","POR",0,0,0
"PF","Jared Dudley",3200,"MIN@PHO 12/23/2017 09:00PM ET",10.875,"PHO","MIN",0,0,0
"SG/SF","Wes Iwundu",3200,"ORL@WAS 12/23/2017 07:00PM ET",5.982,"ORL","WAS",0,13.2,0
"SG/SF","James Ennis III",3200,"LAC@MEM 12/23/2017 08:00PM ET",13.892,"MEM","LAC",0,8.4,0
"SG/SF","Ben McLemore",3200,"LAC@MEM 12/23/2017 08:00PM ET",11.952,"MEM","LAC",0,8.8,0
"SF/PF","Mirza Teletovic",3200,"MIL@CHA 12/23/2017 07:00PM ET",13.175,"MIL","CHA",0,0,0
"PG/SG","Matthew Dellavedova",3200,"MIL@CHA 12/23/2017 07:00PM ET",12.643,"MIL","CHA",0,11,12.25
"C","JaVale McGee",3200,"DEN@GS 12/23/2017 08:30PM ET",8.926,"GS","DEN",0,0,3.5
"SG","Malik Beasley",3200,"DEN@GS 12/23/2017 08:30PM ET",7.278,"DEN","GS",0,0,2
"PF/C","Dwight Powell",3100,"DAL@ATL 12/23/2017 07:30PM ET",15.798,"DAL","ATL",0,15.7,23
"SF/PF","Luke Babbitt",3100,"DAL@ATL 12/23/2017 07:30PM ET",12.393,"ATL","DAL",0,0,0
"PG","Antonio Blakeney",3100,"CHI@BOS 12/23/2017 07:30PM ET",10.682,"CHI","BOS",0,0,0
