slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
chiozch01,Chris Chiozza,HOUSTON ROCKETS,AWAY,MILWAUKEE BUCKS,LOSS,75,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.7
willicj01,C.J. Williams,MINNESOTA TIMBERWOLVES,HOME,LOS ANGELES CLIPPERS,LOSS,97,0,1,0,1,0,0,0,0,0,0,0,0,0,-0.7
iwundwe01,Wesley Iwundu,ORLANDO MAGIC,AWAY,MIAMI HEAT,WIN,929,0,1,0,0,0,0,1,1,0,0,0,0,4,-1.3
olynyke01,Kelly Olynyk,MIAMI HEAT,HOME,ORLANDO MAGIC,LOSS,1358,1,7,0,5,2,2,1,2,1,0,0,2,2,-1.3
robinje01,Jerome Robinson,LOS ANGELES CLIPPERS,AWAY,MINNESOTA TIMBERWOLVES,WIN,120,0,1,0,1,0,0,0,1,0,0,0,1,0,-1.4
adamsja01,Jaylen Adams,ATLANTA HAWKS,AWAY,NEW ORLEANS PELICANS,WIN,673,0,1,0,1,0,0,0,0,0,0,0,0,2,-1.5
craigto01,Torrey Craig,DENVER NUGGETS,HOME,DETROIT PISTONS,WIN,813,0,2,0,2,0,0,0,2,0,0,0,0,2,-1.6
jacksju01,Justin Jackson,DALLAS MAVERICKS,HOME,SACRAMENTO KINGS,LOSS,1015,1,5,0,3,0,0,0,1,0,0,0,1,0,-1.8
motlejo01,Johnathan Motley,LOS ANGELES CLIPPERS,AWAY,MINNESOTA TIMBERWOLVES,WIN,97,0,0,0,0,0,0,0,0,0,0,0,1,2,-1.8
theisda01,Daniel Theis,BOSTON CELTICS,AWAY,CLEVELAND CAVALIERS,WIN,542,0,0,0,0,0,0,1,0,0,0,0,1,4,-1.9
harriga01,Gary Harris,DENVER NUGGETS,HOME,DETROIT PISTONS,WIN,2136,1,5,1,2,0,0,0,3,2,0,0,3,3,-2.0
okafoja01,Jahlil Okafor,NEW ORLEANS PELICANS,HOME,ATLANTA HAWKS,LOSS,463,0,2,0,1,0,0,0,3,0,0,0,1,2,-2.3
tollian01,Anthony Tolliver,MINNESOTA TIMBERWOLVES,HOME,LOS ANGELES CLIPPERS,LOSS,1249,0,4,0,3,0,0,1,2,0,0,0,0,2,-2.3
linje01,Jeremy Lin,TORONTO RAPTORS,HOME,CHICAGO BULLS,WIN,1178,1,9,0,5,0,0,0,4,2,0,0,0,3,-2.5
dragigo01,Goran Dragic,MIAMI HEAT,HOME,ORLANDO MAGIC,LOSS,1533,1,6,0,2,0,0,0,0,3,0,0,2,4,-3.3
millspa02,Patty Mills,SAN ANTONIO SPURS,AWAY,CHARLOTTE HORNETS,LOSS,1140,0,6,0,4,0,0,1,2,3,0,0,2,3,-4.0
gordoer01,Eric Gordon,HOUSTON ROCKETS,AWAY,MILWAUKEE BUCKS,LOSS,1392,0,7,0,5,0,0,0,1,1,0,0,3,0,-6.9
