Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
56311-112710,C,Tacko,Tacko Fall,Fall,8.5,12,3600,DAL@BOS,BOS,DAL,,,,,,C
56311-85597,PG,Jordan,Jordan McLaughlin,McLaughlin,17.337037263093173,27,3600,NY@MIN,MIN,NY,,,,,,PG
56311-84701,C,Chimezie,Chimezie Metu,Metu,9.453333536783854,15,3600,SAC@SA,SAC,SA,,,,,,C
56311-58081,PG,Tyus,Tyus Jones,Jones,18.7295448996804,44,3600,UTA@MEM,MEM,UTA,,,,,,PG
56311-110995,C,Naz,Naz Reid,Reid,22.18666720920139,45,3600,NY@MIN,MIN,NY,,,,,,C
56311-145308,SF,Patrick,Patrick Williams,Williams,20.334091186523438,44,3600,CHI@PHO,CHI,PHO,,,,,,SF
56311-80815,PF,Zach,Zach Collins,Collins,18.16363664106889,11,3600,POR@DET,POR,DET,O,Ankle,,,,PF
56311-145334,SG,Desmond,Desmond Bane,Bane,16.342500305175783,40,3600,UTA@MEM,MEM,UTA,,,,,,SG
56311-48567,PG,Cameron,Cameron Payne,Payne,16.034286063058037,35,3600,CHI@PHO,PHO,CHI,,,,,,PG
56311-58295,PF,D.J.,D.J. Wilson,Wilson,9.421052631578947,19,3600,HOU@BKN,HOU,BKN,,,,,,PF
56311-9664,SF,Andre,Andre Iguodala,Iguodala,15.695349404978197,43,3600,MIA@IND,MIA,IND,,,,,,SF
56311-18435,SF,Alfonzo,Alfonzo McKinnie,McKinnie,3.9360000610351564,25,3500,MIL@LAL,LAL,MIL,,,,,,SF
56311-85521,SG,Theo,Theo Pinson,Pinson,0.3769230842590332,13,3500,NY@MIN,NY,MIN,,,,,,SG
56311-101393,SG,Paul,Paul Watson,Watson,6.0625,24,3500,TOR@OKC,TOR,OKC,O,Covid-19,,,,SG
56311-117274,PF,Chris,Chris Silva,Silva,6.583333333333333,12,3500,SAC@SA,SAC,SA,,,,,,PF
