,name,team,date,location,opponent,minutes,made_two_point_field_goals,made_three_point_field_goals,made_free_throws,rebounds,assists,blocks,steals,turnovers,recent_average,predicted_points,actual_points
87,Semi Ojeleye,BOSTON CELTICS,2020-02-11,AWAY,HOUSTON ROCKETS,17.220833333333335,2.1079967701754376,1.2548186798245615,1.7380515776315792,4.19211277631579,2.2333426842105264,0.3228271798245615,0.9922734802631581,0.990451697368421,11.879999999999999,21.053900798245614,4.7
88,Thaddeus Young,CHICAGO BULLS,2020-02-11,AWAY,WASHINGTON WIZARDS,32.73466666666666,4.348318000000001,1.408,1.492637,6.522732,2.7782,0.46366000000000007,1.42269,1.4985899999999996,25.521,30.5683114,20.5
89,Carsen Edwards,BOSTON CELTICS,2020-02-11,AWAY,HOUSTON ROCKETS,6.638,0.9541160743157895,0.3393904589473684,0.4530987002105263,1.2350998193684213,0.8028765810526316,0.15307926736842106,0.37321980315789477,0.3914463536842106,4.178,7.253387738400001,1.2
90,Terance Mann,LOS ANGELES CLIPPERS,2020-02-11,AWAY,PHILADELPHIA 76ERS,9.329833333333333,1.3706291195087719,0.41712211701754387,0.7182871728421052,1.8672031151052633,1.4539612266666666,0.1873921577192983,0.5733870044736842,0.6064784501754386,6.654,10.808356377442104,1.2
91,Gary Trent,PORTLAND TRAIL BLAZERS,2020-02-11,AWAY,NEW ORLEANS PELICANS,28.4975,2.010699999999999,2.14202,1.6070280000000001,4.630566,2.5632,0.5848800000000001,1.6185,1.04644,27.598,27.019667199999997,9.9
92,Chris Clemons,HOUSTON ROCKETS,2020-02-11,HOME,BOSTON CELTICS,9.153166666666667,1.2146791721754386,0.6855143738596491,0.6180044704912282,1.966215818947369,1.268050805263158,0.19008718438596492,0.4495698244736842,0.5934961441228068,6.735000000000001,10.690916009508774,0.0
93,Amir Coffey,LOS ANGELES CLIPPERS,2020-02-11,AWAY,PHILADELPHIA 76ERS,14.6205,2.8911330810000004,0.8100988200000001,1.0913595344999998,3.5340133949999992,1.9743523200000002,0.43141248,0.91836747,0.9839134800000001,12.620000000000001,19.571693080499998,0.0
94,Michael Frazier,HOUSTON ROCKETS,2020-02-11,HOME,BOSTON CELTICS,11.797500000000001,1.383434458421053,0.6098314026315791,1.1617979305263162,2.27418979381579,1.3154336684210528,0.21152296578947372,0.6776732368421055,0.6329855486842108,3.4109999999999996,12.494942369684214,0.0
95,Isaiah Hartenstein,HOUSTON ROCKETS,2020-02-11,HOME,BOSTON CELTICS,6.3955,0.9432891252631577,0.2967377357894737,0.4791458109210527,1.5111943780263157,0.8062234621052632,0.15238120263157895,0.34666976052631576,0.38726772131578935,5.045000000000001,7.3885908837631575,0.0
96,William Howard,HOUSTON ROCKETS,2020-02-11,HOME,BOSTON CELTICS,6.037000000000001,0.5890504251578946,0.3644187389473684,0.3106532169473684,1.1917628990526319,0.7289137347368422,0.09378956105263159,0.2817594994736843,0.3223376715789475,1.2880000000000003,5.909805875073684,0.0
