,name,team,date,location,opponent,minutes,made_two_point_field_goals,made_three_point_field_goals,made_free_throws,rebounds,assists,blocks,steals,turnovers,recent_average
120,Emmanuel Mudiay,UTAH JAZZ,2020-01-02,AWAY,CHICAGO BULLS,0.0,2.6422000000000008,0.766,1.373,3.495,2.06,0.329,0.7022999999999998,0.329,0.0
121,Kendrick Nunn,MIAMI HEAT,2020-01-02,HOME,TORONTO RAPTORS,0.0,2.2090999999999994,0.766,1.0441,3.495,2.06,0.329,0.6636000000000001,0.329,0.0
122,Danilo Gallinari,OKLAHOMA CITY THUNDER,2020-01-02,AWAY,SAN ANTONIO SPURS,0.0,2.5001999999999995,0.766,1.373,3.495,2.06,0.329,0.483,0.329,0.0
123,Rodions Kurucs,BROOKLYN NETS,2020-01-02,AWAY,DALLAS MAVERICKS,0.0,2.4646999999999997,0.766,1.373,3.495,2.06,0.329,0.7022999999999998,0.329,0.0
124,Timothé Luwawu-Cabarrot,BROOKLYN NETS,2020-01-02,AWAY,DALLAS MAVERICKS,0.0,2.4646999999999997,0.766,1.373,3.495,2.06,0.329,0.7022999999999998,0.329,0.0
125,Dejounte Murray,SAN ANTONIO SPURS,2020-01-02,HOME,OKLAHOMA CITY THUNDER,0.0,2.202,0.766,1.0441,3.495,2.06,0.329,0.5732999999999998,0.329,0.0
126,Dillon Brooks,MEMPHIS GRIZZLIES,2020-01-02,AWAY,SACRAMENTO KINGS,0.0,2.5214999999999996,0.766,1.373,3.495,2.06,0.329,0.5475,0.329,0.0
127,Jakob Poeltl,SAN ANTONIO SPURS,2020-01-02,HOME,OKLAHOMA CITY THUNDER,0.0,2.202,0.766,1.0441,3.495,2.06,0.329,0.5732999999999998,0.329,0.0
128,Nemanja Bjelica,SACRAMENTO KINGS,2020-01-02,HOME,MEMPHIS GRIZZLIES,0.0,2.3297999999999996,0.766,1.0441,3.495,2.06,0.329,0.7281000000000001,0.329,0.0
129,Paul Millsap,DENVER NUGGETS,2020-01-02,AWAY,INDIANA PACERS,0.0,2.1665,0.766,1.373,3.495,2.06,0.329,0.6636000000000001,0.329,0.0
130,Andre Drummond,DETROIT PISTONS,2020-01-02,AWAY,LOS ANGELES CLIPPERS,0.0,2.5214999999999996,0.766,1.373,3.495,2.06,0.329,0.7022999999999998,0.329,0.0
131,Landry Shamet,LOS ANGELES CLIPPERS,2020-01-02,HOME,DETROIT PISTONS,0.0,2.3582,0.766,1.0441,3.495,2.06,0.329,0.6507000000000002,0.329,0.0
132,Gorgui Dieng,MINNESOTA TIMBERWOLVES,2020-01-02,HOME,GOLDEN STATE WARRIORS,0.0,2.3795,0.766,1.0441,3.495,2.06,0.329,0.6893999999999999,0.329,0.0
133,Trevor Ariza,SACRAMENTO KINGS,2020-01-02,HOME,MEMPHIS GRIZZLIES,0.0,2.3297999999999996,0.766,1.0441,3.495,2.06,0.329,0.7281000000000001,0.329,0.0
134,Justin Jackson,DALLAS MAVERICKS,2020-01-02,HOME,BROOKLYN NETS,0.0,2.3937,0.766,1.0441,3.495,2.06,0.329,0.741,0.329,0.0
135,Larry Nance,CLEVELAND CAVALIERS,2020-01-02,HOME,CHARLOTTE HORNETS,0.0,2.5924999999999994,0.766,1.0441,3.495,2.06,0.329,0.4701000000000001,0.329,0.0
136,Alen Smailagić,GOLDEN STATE WARRIORS,2020-01-02,AWAY,MINNESOTA TIMBERWOLVES,0.0,2.6209000000000007,0.766,1.373,3.495,2.06,0.329,0.5346000000000001,0.329,0.0
137,Jordan Clarkson,UTAH JAZZ,2020-01-02,AWAY,CHICAGO BULLS,0.0,2.6422000000000008,0.766,1.373,3.495,2.06,0.329,0.7022999999999998,0.329,0.0
138,Aaron Holiday,INDIANA PACERS,2020-01-02,HOME,DENVER NUGGETS,0.0,2.3369,0.766,1.0441,3.495,2.06,0.329,0.5991000000000001,0.329,0.0
139,Eric Paschall,GOLDEN STATE WARRIORS,2020-01-02,AWAY,MINNESOTA TIMBERWOLVES,0.0,2.6209000000000007,0.766,1.373,3.495,2.06,0.329,0.5346000000000001,0.329,0.0
140,Thaddeus Young,CHICAGO BULLS,2020-01-02,HOME,UTAH JAZZ,0.0,2.1097,0.766,1.0441,3.495,2.06,0.329,0.7926000000000001,0.329,0.0
141,Delon Wright,DALLAS MAVERICKS,2020-01-02,HOME,BROOKLYN NETS,0.0,2.3937,0.766,1.0441,3.495,2.06,0.329,0.741,0.329,0.0
