name,pos,team,rank
"Sumner, Edmond",SG/SF,Indiana,6.5
"Cancar, Vlatko",SF,Denver,19.0
"Martin, Caleb",SG/SF,Charlotte,24.0
"Brantley, Jarrell",SF/PF,Utah,11.0
"Watanabe, Yuta",SF/PF,Memphis,22.0
"Hervey, Kevin",SF/PF,Oklahoma City,2.5
"Poole, Jordan",SG/SF,Golden State,27.0
"Johnson, Keldon",SG/SF,San Antonio,24.0
"Franks, Robert",SF/PF,Charlotte,24.5
"McDaniels, Jalen",SF/PF,Charlotte,24.5
"Dozier, PJ",SG/SF,Denver,10.5
"Thompson, Klay",SG/SF,Golden State,27.0
"Hutchison, Chandler",SF/PF,Chicago,20.0
"Powell, Norman",SG/SF,Toronto,16.0
"Kennard, Luke",SG/SF,Detroit,4.0
"Wade, Dean",PF,Cleveland,27.0
"Roby, Isaiah",SF/PF,Dallas,12.5
"Iguodala, Andre",SG/SF,Memphis,22.0
"Jeffries, DaQuan",SG/SF,Sacramento,20.0
"Nwaba, David",SG/SF,Brooklyn,14.0
"Okpala, KZ",SF/PF,Miami,11.5
"Jackson, Josh",SF/PF,Memphis,22.0
"Sabonis, Domantas^",PF/C,Indiana,14.0
"Aldridge, LaMarcus^",PF/C,San Antonio,17.0
"Carter Jr., Wendell^",PF/C,Chicago,24.0
"Gobert, Rudy^",C,Utah,25.0
"Valanciunas, Jonas^",C,Memphis,20.0
"Adebayo, Bam^",C,Miami,17.0
"Love, Kevin^",PF/C,Cleveland,28.0
"Ibaka, Serge^",PF/C,Toronto,2.5
"Markkanen, Lauri^",PF/C,Chicago,24.0
"Harrell, Montrezl",PF/C,LA Clippers,16.5
"Drummond, Andre^",C,Detroit,27.0
"Jackson, Jaren^",PF/C,Memphis,21.0
"Kleber, Maxi",PF/C,Dallas,15.5
"Adams, Steven^",C,Oklahoma City,23.0
"Turner, Myles^",C,Indiana,21.0
"Holmes, Richaun^",PF/C,Sacramento,6.5
"Jokic, Nikola^",C,Denver,9.0
"Washington, P.J.^",PF/C,Charlotte,20.5
"Jordan, DeAndre^",C,Brooklyn,26.0
"Plumlee, Mason",PF/C,Denver,7.5
"Chriss, Marquese^",PF/C,Golden State,14.5
"Zubac, Ivica^",C,LA Clippers,19.0
"Wood, Christian",PF/C,Detroit,28.5
"Thompson, Tristan^",C,Cleveland,29.0
"Zeller, Cody",PF/C,Charlotte,20.5
"Bradley, Tony",C,Utah,25.0
"Maker, Thon",PF/C,Detroit,28.5
"Millsap, Paul^",PF/C,Denver,7.5
"Noel, Nerlens",C,Oklahoma City,23.0
"Clarke, Brandon",PF/C,Memphis,21.0
"Henson, John",C,Cleveland,29.0
"Marjanovic, Boban",C,Dallas,22.0
"Boucher, Chris",PF/C,Toronto,2.5
"Poeltl, Jakob",C,San Antonio,10.0
"Spellman, Omari",PF/C,Golden State,14.5
"Allen, Jarrett",C,Brooklyn,26.0
"Biyombo, Bismack^",C,Charlotte,16.0
"Smailagic, Alen",PF/C,Golden State,14.5
"Gafford, Daniel",C,Chicago,28.0
"Giles, Harry",PF/C,Sacramento,6.5
"Powell, Dwight^",C,Dallas,22.0
"Nance, Larry",PF/C,Cleveland,28.0
"Grant, Jerami",PF/C,Denver,7.5
"Leonard, Meyers^",PF/C,Miami,17.0
"Silva, Chris",C,Miami,17.0
"Ellenson, Henry",PF/C,Brooklyn,15.5
"Lyles, Trey^",PF/C,San Antonio,17.0
"Bitadze, Goga",PF/C,Indiana,14.0
"Olynyk, Kelly",PF/C,Miami,17.0
"Motley, Johnathan",PF/C,LA Clippers,16.5
"Leaf, TJ",PF/C,Indiana,14.0
"Patterson, Patrick",PF/C,LA Clippers,16.5
"Metu, Chimezie",PF/C,San Antonio,17.0
"Swanigan, Caleb",PF/C,Sacramento,6.5
"Griffin, Blake",PF/C,Detroit,28.5
"Davis, Ed",C,Utah,25.0
"Hernangomez, Guillermo",C,Charlotte,16.0
"Kornet, Luke",PF/C,Chicago,24.0
"Muscala, Mike",PF/C,Oklahoma City,13.0
"Zizic, Ante",C,Cleveland,29.0
"Caboclo, Bruno",PF/C,Memphis,21.0
"Eubanks, Drew",PF/C,San Antonio,17.0
"Felicio, Cristiano",C,Chicago,28.0
