,Unnamed: 0,slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score,Date,Team Defensive Rating,Team Pace,Team Turnover %,Opponent Defensive Rating,Opponent Pace,Opponent Turnover %
72,72,dotsoda01,Damyean Dotson,NEW YORK KNICKS,HOME,PORTLAND TRAIL BLAZERS,WIN,796,0,0,0,0,0,0,0,1,2,0,0,0,0,1.7,2020-01-01,113.7,99.6,12.4,110.5,99.1,12.1
73,73,johnsca02,Cameron Johnson,PHOENIX SUNS,AWAY,LOS ANGELES LAKERS,LOSS,853,1,4,0,3,0,0,1,2,2,0,0,0,2,1.5,2020-01-01,115.1,100.5,13.8,109.5,103.2,13.4
74,74,brownmo01,Moses Brown,PORTLAND TRAIL BLAZERS,AWAY,NEW YORK KNICKS,LOSS,285,1,2,0,0,0,0,0,1,0,0,0,0,0,1.3,2020-01-01,110.5,99.1,12.1,113.7,99.6,12.4
75,75,martike03,Kelan Martin,MINNESOTA TIMBERWOLVES,AWAY,MILWAUKEE BUCKS,LOSS,1411,1,7,1,5,0,0,0,3,2,0,2,1,2,0.4,2020-01-01,112.9,100.2,11.4,105.2,103.3,12.0
76,76,simonan01,Anfernee Simons,PORTLAND TRAIL BLAZERS,AWAY,NEW YORK KNICKS,LOSS,1553,1,8,0,2,1,2,0,3,3,1,0,1,0,0.4,2020-01-01,110.5,99.1,12.1,113.7,99.6,12.4
77,77,mahinia01,Ian Mahinmi,WASHINGTON WIZARDS,HOME,ORLANDO MAGIC,LOSS,1178,1,2,0,0,0,0,0,2,0,0,2,2,2,0.2,2020-01-01,113.9,101.4,12.3,108.1,98.1,11.9
78,78,paytoga02,Gary Payton,WASHINGTON WIZARDS,HOME,ORLANDO MAGIC,LOSS,585,2,5,0,1,0,0,0,3,0,0,0,1,3,0.0,2020-01-01,113.9,101.4,12.3,108.1,98.1,11.9
79,79,robinju01,Justin Robinson,WASHINGTON WIZARDS,HOME,ORLANDO MAGIC,LOSS,231,0,1,0,0,0,0,0,0,1,0,0,0,0,0.0,2020-01-01,113.9,101.4,12.3,108.1,98.1,11.9
80,80,littlna01,Nassir Little,PORTLAND TRAIL BLAZERS,AWAY,NEW YORK KNICKS,LOSS,658,0,1,0,0,0,0,0,2,0,0,0,0,1,-0.5,2020-01-01,110.5,99.1,12.1,113.7,99.6,12.4
81,81,carusal01,Alex Caruso,LOS ANGELES LAKERS,HOME,PHOENIX SUNS,WIN,221,0,1,0,1,0,0,0,0,0,0,0,0,0,-0.7,2020-01-01,109.5,103.2,13.4,115.1,100.5,13.8
82,82,magetjo01,Josh Magette,ORLANDO MAGIC,AWAY,WASHINGTON WIZARDS,WIN,136,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.7,2020-01-01,108.1,98.1,11.9,113.9,101.4,12.3
83,83,schofad01,Admiral Schofield,WASHINGTON WIZARDS,HOME,ORLANDO MAGIC,LOSS,231,0,1,0,1,0,0,0,0,0,0,0,0,0,-0.7,2020-01-01,113.9,101.4,12.3,108.1,98.1,11.9
84,84,danietr01,Troy Daniels,LOS ANGELES LAKERS,HOME,PHOENIX SUNS,WIN,252,0,1,0,0,0,0,0,0,0,0,0,0,1,-1.1,2020-01-01,109.5,103.2,13.4,115.1,100.5,13.8
85,85,frazime01,Melvin Frazier,ORLANDO MAGIC,AWAY,WASHINGTON WIZARDS,WIN,761,0,2,0,1,0,0,0,0,0,1,1,0,4,-1.3,2020-01-01,108.1,98.1,11.9,113.9,101.4,12.3
86,86,carteje01,Jevon Carter,PHOENIX SUNS,AWAY,LOS ANGELES LAKERS,LOSS,214,0,0,0,0,0,0,0,0,0,0,0,2,0,-2.0,2020-01-01,115.1,100.5,13.8,109.5,103.2,13.4
87,87,barrerj01,RJ Barrett,NEW YORK KNICKS,HOME,PORTLAND TRAIL BLAZERS,WIN,1476,3,12,1,4,0,1,0,4,0,0,0,3,2,-3.2,2020-01-01,113.7,99.6,12.4,110.5,99.1,12.1
88,88,rondora01,Rajon Rondo,LOS ANGELES LAKERS,HOME,PHOENIX SUNS,WIN,910,0,4,0,1,0,0,0,0,1,0,0,1,1,-3.5,2020-01-01,109.5,103.2,13.4,115.1,100.5,13.8
89,0,foxde01,De'Aaron Fox,SACRAMENTO KINGS,HOME,MEMPHIS GRIZZLIES,WIN,1793,9,18,1,4,8,8,1,3,9,5,2,1,3,30.1,2020-01-02,111.5,103.1,11.5,108.8,96.6,12.9
90,1,lambje01,Jeremy Lamb,INDIANA PACERS,HOME,DENVER NUGGETS,LOSS,2209,9,13,5,5,7,7,1,5,2,1,0,0,2,28.3,2020-01-02,106.5,98.1,12.4,108.9,97.7,11.9
91,2,doncilu01,Luka Dončić,DALLAS MAVERICKS,HOME,BROOKLYN NETS,WIN,2040,9,18,5,8,8,9,4,9,7,0,1,4,4,27.1,2020-01-02,110.7,99.0,12.7,109.7,100.8,13.0
92,3,gilgesh01,Shai Gilgeous-Alexander,OKLAHOMA CITY THUNDER,AWAY,SAN ANTONIO SPURS,WIN,2171,10,18,2,4,3,4,0,7,5,1,2,1,1,22.6,2020-01-02,107.0,102.8,11.7,111.2,98.3,11.0
93,4,sabondo01,Domantas Sabonis,INDIANA PACERS,HOME,DENVER NUGGETS,LOSS,2296,8,12,0,0,2,6,4,5,9,2,1,2,0,22.5,2020-01-02,106.5,98.1,12.4,108.9,97.7,11.9
94,5,covinro01,Robert Covington,MINNESOTA TIMBERWOLVES,HOME,GOLDEN STATE WARRIORS,WIN,1789,8,15,4,11,0,0,2,8,2,2,2,0,0,21.3,2020-01-02,112.9,100.2,11.4,109.5,100.9,12.6
95,6,aldrila01,LaMarcus Aldridge,SAN ANTONIO SPURS,HOME,OKLAHOMA CITY THUNDER,LOSS,1963,7,13,4,4,4,4,4,8,0,0,3,1,2,21.2,2020-01-02,111.2,98.3,11.0,107.0,102.8,11.7
96,7,roziete01,Terry Rozier,CHARLOTTE HORNETS,AWAY,CLEVELAND CAVALIERS,WIN,2316,11,22,6,12,2,3,1,5,3,1,0,2,2,21.1,2020-01-02,112.5,98.7,10.9,117.6,96.6,12.2
97,8,curryse01,Seth Curry,DALLAS MAVERICKS,HOME,BROOKLYN NETS,WIN,1865,9,13,5,5,2,2,0,2,1,1,0,1,0,20.8,2020-01-02,110.7,99.0,12.7,109.7,100.8,13.0
98,9,portemi01,Michael Porter,DENVER NUGGETS,AWAY,INDIANA PACERS,WIN,1366,11,12,2,3,1,2,0,5,1,0,0,1,3,20.6,2020-01-02,108.9,97.7,11.9,106.5,98.1,12.4
99,10,murraja01,Jamal Murray,DENVER NUGGETS,AWAY,INDIANA PACERS,WIN,2273,8,18,2,7,4,4,0,5,7,1,0,0,1,19.6,2020-01-02,108.9,97.7,11.9,106.5,98.1,12.4
100,11,napiesh01,Shabazz Napier,MINNESOTA TIMBERWOLVES,HOME,GOLDEN STATE WARRIORS,WIN,1985,7,9,2,4,4,6,1,2,7,2,1,4,3,19.4,2020-01-02,112.9,100.2,11.4,109.5,100.9,12.6
101,12,hieldbu01,Buddy Hield,SACRAMENTO KINGS,HOME,MEMPHIS GRIZZLIES,WIN,2016,8,17,5,9,5,6,0,7,3,0,1,2,2,19.0,2020-01-02,111.5,103.1,11.5,108.8,96.6,12.9
102,13,derozde01,DeMar DeRozan,SAN ANTONIO SPURS,HOME,OKLAHOMA CITY THUNDER,LOSS,2358,13,25,1,3,3,3,1,2,3,0,0,2,2,18.3,2020-01-02,111.2,98.3,11.0,107.0,102.8,11.7
103,14,klebima01,Maxi Kleber,DALLAS MAVERICKS,HOME,BROOKLYN NETS,WIN,1839,6,7,3,4,3,4,0,4,1,0,3,1,3,16.9,2020-01-02,110.7,99.0,12.7,109.7,100.8,13.0
104,15,warretj01,T.J. Warren,INDIANA PACERS,HOME,DENVER NUGGETS,LOSS,2258,8,15,2,5,2,2,2,3,2,2,0,0,4,16.8,2020-01-02,106.5,98.1,12.4,108.9,97.7,11.9
105,16,leonaka01,Kawhi Leonard,LOS ANGELES CLIPPERS,HOME,DETROIT PISTONS,WIN,1471,8,16,1,3,1,1,1,5,5,2,1,1,2,16.6,2020-01-02,111.5,101.7,12.7,109.2,97.4,12.3
106,17,valanjo01,Jonas Valančiūnas,MEMPHIS GRIZZLIES,AWAY,SACRAMENTO KINGS,LOSS,1767,7,12,2,3,2,2,4,8,2,0,0,2,1,16.6,2020-01-02,108.8,96.6,12.9,111.5,103.1,11.5
107,18,cartewe01,Wendell Carter,CHICAGO BULLS,HOME,UTAH JAZZ,LOSS,2155,7,12,1,2,3,4,6,7,4,0,0,4,3,15.9,2020-01-02,113.2,99.0,12.7,105.7,100.3,13.4
108,19,crowdja01,Jae Crowder,MEMPHIS GRIZZLIES,AWAY,SACRAMENTO KINGS,LOSS,1857,7,15,3,8,2,2,1,3,6,0,0,0,3,15.9,2020-01-02,108.8,96.6,12.9,111.5,103.1,11.5
